Index;Value
0;-1,97083945777493
1;-1,97338470609745
2;-1,97720257858122
3;-1,98038413898436
4;-1,98229307522624
5;-1,9835656993875
6;-1,98483832354876
7;-1,98611094771001
8;-1,9880198839519
9;-1,98929250811315
10;-1,99056513227441
11;-1,99183775643567
12;-1,99311038059692
13;-1,99438300475818
14;-1,99311038059692
15;-1,99501931683881
16;-1,99756456516132
17;-1,99756456516132
18;-1,99756456516132
19;-1,99820087724195
20;-1,99820087724195
21;-2,00010981348384
22;-2,00074612556446
23;-2,00010981348384
24;-2,00138243764509
25;-2,00138243764509
26;-2,00138243764509
27;-2,00074612556446
28;-2,00138243764509
29;-2,00074612556446
30;-2,00201874972572
31;-2,00138243764509
32;-2,00010981348384
33;-2,00074612556446
34;-2,00010981348384
35;-2,00010981348384
36;-2,00010981348384
37;-1,99947350140321
38;-1,99692825308069
39;-1,99692825308069
40;-1,99501931683881
41;-1,99438300475818
42;-1,9924740685163
43;-1,99120144435504
44;-1,98992882019378
45;-1,98929250811315
46;-1,98611094771001
47;-1,98420201146813
48;-1,9835656993875
49;-1,98165676314561
50;-1,98038413898436
51;-1,97720257858122
52;-1,97592995441996
53;-1,97274839401682
54;-1,97083945777493
55;-1,96956683361367
56;-1,9657489611299
57;-1,9657489611299
58;-1,96256740072676
59;-1,96065846448488
60;-1,95747690408174
61;-1,95556796783985
62;-1,95302271951734
63;-1,95047747119482
64;-1,94729591079168
65;-1,94475066246917
66;-1,94029647790477
67;-1,93775122958226
68;-1,93266073293723
69;-1,93011548461472
70;-1,92693392421157
71;-1,92247973964718
72;-1,91993449132466
73;-1,91420768259901
74;-1,91229874635712
75;-1,9072082497121
76;-1,90593562555084
77;-1,90148144098644
78;-1,89957250474456
79;-1,89575463226079
80;-1,89257307185764
81;-1,88620995105136
82;-1,88239207856759
83;-1,87730158192256
84;-1,87221108527754
85;-1,86902952487439
86;-1,86457534031
87;-1,85821221950371
88;-1,85312172285869
89;-1,84994016245554
90;-1,84612228997177
91;-1,83912285708486
92;-1,83403236043983
93;-1,82957817587544
94;-1,82321505506915
95;-1,81812455842413
96;-1,8130340617791
97;-1,80794356513407
98;-1,80221675640842
99;-1,79903519600527
100;-1,79012682687648
101;-1,78503633023145
102;-1,78058214566705
103;-1,77421902486077
