Index;Value
0;-2,0217444242252
1;-2,01983548798332
2;-2,01983548798332
3;-2,01792655174143
4;-2,01792655174143
5;-2,01856286382206
6;-2,01856286382206
7;-2,01601761549955
8;-2,01474499133829
9;-2,01347236717703
10;-2,01347236717703
11;-2,01156343093515
12;-2,00901818261263
13;-2,00965449469326
14;-2,008381870532
15;-2,00520031012886
16;-2,00456399804823
17;-2,00392768596761
18;-2,00265506180635
19;-1,99820087724195
20;-1,99629194100007
21;-1,99565562891944
22;-1,99438300475818
23;-1,99120144435504
24;-1,98738357187127
25;-1,98865619603253
26;-1,98229307522624
27;-1,98038413898436
28;-1,97783889066184
29;-1,97656626650059
30;-1,97338470609745
31;-1,96893052153305
32;-1,96702158529116
33;-1,96511264904928
34;-1,96320371280739
35;-1,95811321616236
36;-1,95493165575922
37;-1,95047747119482
38;-1,94793222287231
39;-1,9453869745498
40;-1,94156910206603
41;-1,93584229334037
42;-1,93329704501786
43;-1,93138810877597
44;-1,92693392421157
45;-1,92247973964718
46;-1,91738924300215
47;-1,91611661884089
48;-1,90975349803461
49;-1,90593562555084
50;-1,90148144098644
51;-1,89702725642204
52;-1,8938456960189
53;-1,88811888729325
54;-1,88430101480947
55;-1,87857420608382
56;-1,87602895776131
57;-1,87030214903565
58;-1,86330271614874
59;-1,85884853158434
60;-1,8556669711812
61;-1,85057647453617
62;-1,84548597789114
63;-1,842304417488
64;-1,83466867252046
65;-1,82957817587544
66;-1,82321505506915
67;-1,8174882463435
68;-1,81494299802098
69;-1,80730725305344
70;-1,80094413224716
71;-1,79712625976339
72;-1,78821789063459
73;-1,78249108190894
74;-1,77676427318328
75;-1,77167377653826
76;-1,7659469678126
77;-1,75831122284506
78;-1,75322072620003
79;-1,74622129331312
80;-1,73985817250684
81;-1,73158611545867
82;-1,72585930673301
83;-1,72076881008799
84;-1,71313306512045
85;-1,70613363223353
86;-1,69913419934662
87;-1,69277107854034
88;-1,68704426981468
89;-1,67877221276652
90;-1,66922753155709
91;-1,66540965907332
92;-1,65586497786389
93;-1,6469566087351
94;-1,6425024241707
95;-1,63423036712253
96;-1,62850355839687
97;-1,62023150134871
98;-1,61132313221991
99;-1,60241476309111
100;-1,59732426644609
101;-1,5865069610754
102;-1,57950752818849
103;-1,57123547114032
104;-1,56359972617278
105;-1,55596398120524
106;-1,5483282362377
107;-1,53878355502828
108;-1,53051149798011
109;-1,5235120650932
110;-1,51333107180314
111;-1,50505901475497
112;-1,49742326978743
113;-1,48787858857801
114;-1,47897021944921
115;-1,47006185032041
116;-1,46369872951413
117;-1,45351773622408
118;-1,44460936709528
119;-1,43760993420837
120;-1,42742894091831
121;-1,42170213219266
122;-1,41088482682198
123;-1,40134014561255
124;-1,39243177648375
125;-1,38161447111307
126;-1,37270610198427
127;-1,36188879661359
128;-1,35425305164605
129;-1,34534468251726
130;-1,33389106506594
131;-1,3262553200984
132;-1,31480170264709
133;-1,30716595767955
134;-1,29571234022824
135;-1,28489503485756
136;-1,27471404156751
137;-1,26644198451934
138;-1,25689730330991
139;-1,2454436858586
140;-1,23589900464918
141;-1,22635432343975
142;-1,21744595431095
143;-1,20535602477902
144;-1,19453871940833
145;-1,18372141403765
146;-1,17417673282823
147;-1,16399573953817
148;-1,15317843416749
149;-1,14299744087744
150;-1,13408907174864
151;-1,12263545429733
152;-1,10927290060413
153;-1,09972821939471
154;-1,08954722610465
155;-1,07745729657272
156;-1,06663999120203
157;-1,05773162207324
158;-1,0456416925413
159;-1,0367333234125
160;-1,02400708179993
161;-1,01128084018737
162;-1,00237247105857
163;-0,989009917365374
164;-0,97882892407532
165;-0,967375306624009
166;-0,957194313333956
167;-0,945740695882646
168;-0,934287078431336
169;-0,923469773060653
170;-0,911379843528715
171;-0,898017289835519
172;-0,887199984464837
173;-0,875746367013526
174;-0,864292749562216
175;-0,854111756272162
176;-0,842658138820852
177;-0,835022393853311
178;-0,820387215998859
179;-0,807660974386292
180;-0,794298420693096
181;-0,785390051564299
182;-0,773936434112989
183;-0,763119128742306
184;-0,750392887129739
185;-0,739575581759057
186;-0,728121964307747
187;-0,714123098533923
188;-0,700124232760099
189;-0,689943239470045
190;-0,678489622018735
191;-0,664490756244911
192;-0,653673450874229
193;-0,64158352134229
194;-0,628857279729723
