Index;Value
0;-1,97847520274247
1;-1,97656626650059
2;-1,97529364233933
3;-1,97211208193619
4;-1,9702031456943
5;-1,96511264904928
6;-1,96256740072676
7;-1,96002215240425
8;-1,95747690408174
9;-1,95111378327545
10;-1,94856853495294
11;-1,94475066246917
12;-1,94220541414666
13;-1,93966016582414
14;-1,93584229334037
15;-1,9320244208566
16;-1,9275702362922
17;-1,92375236380843
18;-1,91802555508278
19;-1,91420768259901
20;-1,91102612219587
21;-1,90529931347021
22;-1,90339037722833
23;-1,89893619266393
24;-1,8938456960189
25;-1,89193675977701
26;-1,8849373268901
27;-1,87921051816445
28;-1,87475633360005
29;-1,86966583695502
30;-1,86521165239062
31;-1,86075746782623
32;-1,85503065910057
33;-1,84994016245554
34;-1,84548597789114
35;-1,83912285708486
36;-1,83466867252046
37;-1,83021448795606
38;-1,82257874298852
39;-1,8174882463435
40;-1,81048881345659
41;-1,80539831681156
42;-1,79903519600527
43;-1,7952173235215
44;-1,78821789063459
45;-1,78185476982831
46;-1,77803689734454
47;-1,770401152377
48;-1,76531065573197
49;-1,75831122284506
50;-1,7525844141194
51;-1,74431235707124
52;-1,73922186042621
53;-1,73158611545867
54;-1,72522299465238
55;-1,71949618592673
56;-1,71249675303982
57;-1,70613363223353
58;-1,69849788726599
59;-1,69277107854034
60;-1,68704426981468
61;-1,67813590068589
62;-1,67050015571835
63;-1,66286441075081
64;-1,65650128994452
65;-1,64759292081573
66;-1,64186611209007
67;-1,63423036712253
68;-1,62659462215499
69;-1,61895887718745
70;-1,61195944430054
71;-1,60177845101048
72;-1,5954153302042
73;-1,58968852147854
74;-1,58141646443038
75;-1,57314440738221
76;-1,56359972617278
77;-1,55532766912461
78;-1,54641929999582
79;-1,53814724294765
80;-1,52987518589948
81;-1,52223944093194
82;-1,51396738388377
83;-1,50442270267434
84;-1,49869589394869
85;-1,48851490065864
86;-1,47960653152984
87;-1,47133447448167
88;-1,46178979327224
89;-1,45224511206282
90;-1,44142780669214
91;-1,43315574964397
92;-1,42679262883768
93;-1,41852057178952
94;-1,40770326641883
95;-1,40070383353192
96;-1,39052284024187
97;-1,38034184695181
98;-1,3688882295005
99;-1,35934354829108
100;-1,34979886708165
101;-1,34216312211411
102;-1,33198212882406
103;-1,32371007177589
104;-1,31352907848584
105;-1,30398439727641
106;-1,2925307798251
107;-1,28171347445442
108;-1,27280510532562
109;-1,26262411203557
110;-1,25244311874551
111;-1,24289843753609
112;-1,23335375632666
113;-1,22508169927849
114;-1,21490070598844
115;-1,20153815229525
116;-1,19326609524708
117;-1,18372141403765
118;-1,1735404207476
119;-1,16272311537692
120;-1,15381474624812
121;-1,14427006503869
122;-1,13281644758738
123;-1,12136283013607
124;-1,10736396436225
125;-1,09654665899157
126;-1,08636566570151
127;-1,07745729657272
128;-1,06727630328266
129;-1,05645899791198
130;-1,0456416925413
131;-1,03355176300936
132;-1,02209814555805
133;-1,01064452810674
134;-0,998554598574799
135;-0,988373605284746
136;-0,977556299914063
137;-0,966738994543381
138;-0,954649065011442
139;-0,945104383802017
140;-0,933650766350707
141;-0,919015588496254
142;-0,9088345952062
143;-0,896108353593633
144;-0,88592736030358
145;-0,875746367013526
146;-0,863656437481588
147;-0,85474806835279
148;-0,842021826740223
149;-0,828659273047028
150;-0,815296719353832
151;-0,802570477741265
152;-0,79302579653184
153;-0,779663242838644
154;-0,767573313306706
155;-0,757392320016652
156;-0,747847638807226
157;-0,735757709275287
158;-0,724940403904605
159;-0,709032601888896
160;-0,696942672356958
161;-0,685489054905647
162;-0,672126501212452
163;-0,660036571680513
164;-0,649219266309831
165;-0,636493024697264
166;-0,62631203140721
167;-0,614858413955899
168;-0,600859548182076
169;-0,586860682408251
170;-0,577952313279455
171;-0,565226071666887
172;-0,55249983005432
173;-0,542318836764266
174;-0,529592595151699
175;-0,517502665619761
176;-0,505412736087822
177;-0,490777558233369
178;-0,479323940782058
179;-0,466597699169491
180;-0,454507769637552
181;-0,440508903863729
182;-0,42841897433179
183;-0,415692732719223
184;-0,40487542734854
185;-0,38960393741346
186;-0,377514007881521
187;-0,365424078349583
188;-0,353970460898272
189;-0,341244219285705
190;-0,32788166559251
191;-0,315791736060571
192;-0,303701806528632
193;-0,290339252835436
194;-0,274431450819727
195;-0,262341521287788
196;-0,250251591755849
197;-0,238797974304539
198;-0,2267080447726
199;-0,214618115240661
200;-0,201891873628094
201;-0,188529319934899
202;-0,175803078322332
203;-0,159895276306623
204;-0,147169034694056
205;-0,135715417242745
206;-0,122989175630178
207;-0,110899246098239
208;-0,0988093165663004
209;-0,0873556991149895
210;-0,0727205212605373
211;-0,0593579675673421
212;-0,045359101793518
213;-0,0313602360196938
214;-0,0192703064877549
215;-0,00781668903644483
216;0,00363692841486607
217;0,0157268579468042
218;0,0303620358012564
219;0,0424519653331954
220;0,0558145190263915
221;0,0717223210420999
222;0,0831759384934108
223;0,0965384921866059
224;0,107355797557288
225;0,120082039169856
226;0,132808280782423
227;0,146170834475618
228;0,155079203604415
229;0,167805445216982
230;0,184349559313319
231;0,197075800925886
232;0,208529418377197
233;0,220619347909136
234;0,232709277441075
235;0,24607183113427
236;0,256889136504952
237;0,270251690198148
238;0,286159492213857
239;0,298249421745796
240;0,309703039197107
241;0,324974529132187
242;0,335155522422241
243;0,347881764034808
244;0,359335381486118
245;0,370152686856801
246;0,384787864711253
247;0,400695666726961
248;0,412149284178272
249;0,424875525790839
250;0,438238079484035
251;0,449055384854717
252;0,460509002306027
253;0,473871555999223
254;0,484688861369905
255;0,496778790901844
256;0,51395921707881
257;0,524140210368863
258;0,536866451981431
259;0,549592693593998
260;0,561046311045308
261;0,573136240577247
262;0,584589858028557
263;0,597316099641125
264;0,608769717092435
265;0,622768582866259
266;0,638040072801339
267;0,648221066091393
268;0,66094730770396
269;0,673673549316527
270;0,683854542606581
271;0,696580784219148
272;0,70739808958983
273;0,720124331202398
274;0,735395821137478
275;0,74621312650816
276;0,759575680201356
277;0,770392985572038
278;0,780573978862092
279;0,792027596313402
280;0,804117525845341
281;0,81620745537728
282;0,827024760747962
283;0,842932562763671
284;0,853113556053724
285;0,862021925182522
