Index;Value
0;1,1935405191899
1;1,18272321381921
2;1,17254222052916
3;1,16045229099722
4;1,14963498562654
5;1,13818136817523
6;1,13054562320769
7;1,11972831783701
8;1,10954732454695
9;1,09618477085376
10;1,08154959299931
11;1,07327753595114
12;1,06373285474171
13;1,05164292520977
14;1,03955299567783
15;1,03064462654904
16;1,02109994533961
17;1,01091895204956
18;0,999465334598248
19;0,985466468824423
20;0,974012851373113
21;0,963831858083059
22;0,952378240631749
23;0,941560935261067
24;0,9288346936485
25;0,918653700358446
26;0,907836394987764
27;0,895746465455825
28;0,880474975520744
29;0,870293982230691
30;0,859476676860008
31;0,848023059408698
32;0,835296817796131
33;0,821934264102935
34;0,81238958289351
35;0,801572277522828
36;0,789482347990889
37;0,77357454597518
38;0,763393552685126
39;0,750667311072559
40;0,740486317782505
41;0,728396388250566
42;0,715033834557371
43;0,702943905025432
44;0,69212659965475
45;0,678127733880926
46;0,664765180187731
47;0,652675250655792
48;0,641221633204482
49;0,630404327833799
50;0,617678086221232
51;0,604951844608665
52;0,594770851318611
53;0,581408297625416
54;0,56804574393222
55;0,554046878158396
56;0,541320636545829
57;0,531139643255775
58;0,518413401643208
59;0,506323472111269
60;0,492960918418073
61;0,482143613047391
62;0,470053683515452
63;0,454782193580372
64;0,442055951967805
65;0,429329710355238
66;0,418512404984556
67;0,40514985129136
68;0,391787297598165
69;0,379697368066226
70;0,367607438534287
71;0,355517509002349
72;0,340246019067267
73;0,330701337857843
74;0,317975096245275
75;0,307157790874593
76;0,293795237181397
77;0,28106899556883
78;0,267706441875634
79;0,255616512343696
80;0,244162894892385
81;0,228891404957305
82;0,215528851264109
83;0,201529985490286
84;0,191348992200232
85;0,179259062668293
86;0,164623884813841
87;0,152533955281902
88;0,14171664991122
89;0,128990408298653
90;0,113718918363571
91;0,100356364670376
92;0,0876301230578092
93;0,0755401935258702
94;0,0634502639939312
95;0,0507240223813641
96;0,0373614686881689
97;0,0252715391562299
98;0,0100000492211496
99;-0,00399881655267453
100;-0,0160887460846135
101;-0,0288149876971806
102;-0,0402686051484906
103;-0,0523585346804296
104;-0,0650847762929967
105;-0,0784473299861927
106;-0,0911735715987598
107;-0,105172437372584
108;-0,117898678985151
109;-0,131261232678346
110;-0,143987474290913
111;-0,154168467580967
112;-0,168803645435419
113;-0,182802511209244
114;-0,192983504499297
115;-0,204437121950607
116;-0,221617548127574
117;-0,232434853498256
118;-0,246433719272079
119;-0,25788733672339
120;-0,268704642094072
121;-0,283339819948524
122;-0,29670237364172
123;-0,30815599109303
124;-0,319609608544341
125;-0,334881098479421
126;-0,350152588414502
127;-0,360969893785184
128;-0,371787199155866
129;-0,383240816607176
130;-0,394058121977858
131;-0,406784363590425
132;-0,418237981041736
133;-0,429691598493046
134;-0,444963088428127
135;-0,458961954201951
136;-0,471688195814519
137;-0,480596564943315
138;-0,492686494475254
139;-0,505412736087822
140;-0,518138977700389
141;-0,531501531393584
142;-0,54104621260301
143;-0,555681390457462
144;-0,568407632070029
145;-0,581133873682596
146;-0,592587491133907
147;-0,604041108585217
148;-0,616767350197784
149;-0,629493591810351
150;-0,640947209261662
151;-0,653673450874229
152;-0,667036004567424
153;-0,677216997857478
154;-0,691215863631302
155;-0,702669481082612
156;-0,71157785021141
157;-0,724940403904605
158;-0,737666645517172
159;-0,750392887129739
160;-0,762482816661678
161;-0,772663809951732
162;-0,786026363644927
163;-0,798116293176866
164;-0,807660974386292
165;-0,821023528079487
166;-0,831204521369541
167;-0,841385514659595
168;-0,855384380433419
169;-0,868746934126614
170;-0,878927927416668
171;-0,890381544867979
172;-0,900562538158032
173;-0,912652467689971
174;-0,924106085141282
175;-0,934923390511964
176;-0,944468071721388
177;-0,955285377092071
178;-0,969284242865895
179;-0,981374172397834
180;-0,992827789849144
181;-1,0030087831392
182;-1,01318977642925
183;-1,02464339388056
184;-1,03418807508999
185;-1,04627800462193
186;-1,05582268583135
187;-1,06854892744392
188;-1,07682098449209
189;-1,08700197778214
190;-1,09845559523345
191;-1,10990921268476
192;-1,11818126973293
193;-1,12836226302298
194;-1,13854325631304
195;-1,14999687376435
196;-1,16272311537692
197;-1,17099517242508
198;-1,18181247779577
199;-1,19262978316645
200;-1,20153815229525
201;-1,21362808182718
202;-1,22190013887535
203;-1,23080850800415
204;-1,24353474961672
205;-1,2543520549874
206;-1,26453304827745
207;-1,27344141740625
208;-1,28107716237379
209;-1,29062184358322
210;-1,30080283687327
211;-1,31162014224395
212;-1,31989219929212
213;-1,33134581674343
214;-1,34152681003348
215;-1,35043517916228
216;-1,35934354829108
217;-1,3688882295005
218;-1,37716028654867
219;-1,38479603151621
220;-1,39688596104815
221;-1,40579433017695
222;-1,41533901138637
223;-1,42361106843454
224;-1,43315574964397
225;-1,44270043085339
226;-1,45033617582093
227;-1,4586082328691
228;-1,46624397783664
229;-1,47515234696544
230;-1,48469702817487
231;-1,49487802146492
232;-1,50251376643246
233;-1,5101495114
234;-1,51714894428691
235;-1,52669362549634
236;-1,53623830670576
237;-1,54260142751205
238;-1,55023717247959
239;-1,55787291744713
240;-1,56805391073718
241;-1,57632596778535
242;-1,58459802483352
243;-1,58841589731729
244;-1,59796057852671
245;-1,60496001141363
246;-1,61195944430054
247;-1,61768625302619
248;-1,62595831007436
249;-1,63486667920316
250;-1,6425024241707
251;-1,64950185705761
252;-1,65713760202515
253;-1,66222809867018
254;-1,66922753155709
255;-1,67559065236337
256;-1,68386270941154
257;-1,69149845437908
258;-1,69849788726599
259;-1,70422469599165
260;-1,71186044095919
261;-1,71822356176547
262;-1,72395037049113
263;-1,72967717921678
264;-1,73604030002307
265;-1,74176710874872
266;-1,75067547787752
267;-1,75767491076443
268;-1,76340171949009
269;-1,76721959197386
270;-1,77421902486077
271;-1,78058214566705
272;-1,78503633023145
273;-1,79139945103773
274;-1,79585363560213
275;-1,80221675640842
276;-1,80921618929533
277;-1,81430668594036
278;-1,82003349466601
279;-1,82448767923041
280;-1,82957817587544
281;-1,83403236043983
282;-1,83912285708486
283;-1,84548597789114
284;-1,84994016245554
285;-1,85312172285869
286;-1,85884853158434
287;-1,86393902822937
288;-1,87030214903565
289;-1,87221108527754
290;-1,87793789400319
291;-1,88239207856759
292;-1,88684626313199
293;-1,89130044769639
294;-1,89448200809953
295;-1,8982998805833
296;-1,90148144098644
297;-1,90657193763147
298;-1,91038981011524
299;-1,91420768259901
300;-1,91675293092152
301;-1,92120711548592
302;-1,92566130005032
303;-1,92884286045346
304;-1,93138810877597
305;-1,93329704501786
306;-1,93711491750163
307;-1,94156910206603
308;-1,94347803830791
309;-1,94602328663043
310;-1,94793222287231
311;-1,95365903159797
312;-1,95556796783985
313;-1,95811321616236
314;-1,96065846448488
315;-1,96256740072676
316;-1,9657489611299
317;-1,96829420945242
318;-1,97083945777493
319;-1,97147576985556
320;-1,9746573302587
321;-1,97720257858122
322;-1,98038413898436
323;-1,98102045106499
324;-1,98292938730687
325;-1,98420201146813
326;-1,98674725979064
327;-1,9880198839519
328;-1,98929250811315
329;-1,9880198839519
330;-1,99311038059692
331;-1,99311038059692
332;-1,99501931683881
333;-1,99501931683881
334;-1,99501931683881
335;-1,99692825308069
336;-1,99947350140321
337;-1,99820087724195
338;-1,99947350140321
339;-1,99883718932258
340;-2,00074612556446
341;-2,00138243764509
342;-2,00138243764509
343;-2,00265506180635
344;-2,00074612556446
345;-2,00074612556446
346;-2,00138243764509
347;-2,00265506180635
348;-2,00265506180635
349;-2,00138243764509
350;-2,00074612556446
351;-2,00010981348384
352;-2,00265506180635
353;-1,99947350140321
354;-1,99883718932258
355;-1,99820087724195
356;-1,99947350140321
357;-1,99756456516132
358;-1,99501931683881
359;-1,99438300475818
360;-1,99311038059692
361;-1,99311038059692
362;-1,99311038059692
363;-1,99183775643567
364;-1,98929250811315
365;-1,98674725979064
366;-1,98547463562938
367;-1,98420201146813
368;-1,9835656993875
369;-1,98229307522624
370;-1,97783889066184
371;-1,97529364233933
372;-1,97274839401682
373;-1,97338470609745
374;-1,97147576985556
375;-1,96702158529116
376;-1,96511264904928
377;-1,96193108864613
378;-1,96065846448488
379;-1,95811321616236
380;-1,95620427992048
381;-1,95175009535608
382;-1,94856853495294
383;-1,94475066246917
384;-1,94347803830791
385;-1,94029647790477
386;-1,93775122958226
387;-1,93520598125974
388;-1,93011548461472
389;-1,92820654837283
390;-1,9231160517278
391;-1,91993449132466
392;-1,91675293092152
393;-1,91420768259901
394;-1,90911718595398
395;-1,90593562555084
396;-1,90084512890581
397;-1,8982998805833
398;-1,89511832018016
399;-1,88875519937387
400;-1,8849373268901
401;-1,87984683024508
402;-1,87602895776131
403;-1,87284739735816
404;-1,86712058863251
405;-1,86139377990685
406;-1,85757590742308
407;-1,85375803493931
408;-1,84866753829429
409;-1,84294072956863
410;-1,83721392084298
411;-1,83212342419795
412;-1,82766923963355
413;-1,8219424309079
414;-1,8174882463435
415;-1,81176143761784
416;-1,80539831681156
417;-1,80030782016653
418;-1,79712625976339
419;-1,79076313895711
420;-1,78630895439271
421;-1,7793095215058
422;-1,7748553369414
423;-1,76976484029637
424;-1,7614927832482
425;-1,75385703828066
426;-1,74749391747438
427;-1,74176710874872
428;-1,7366766121037
429;-1,73094980337804
430;-1,72458668257176
431;-1,71631462552359
432;-1,71249675303982
433;-1,70549732015291
434;-1,69658895102411
435;-1,69277107854034
436;-1,68322639733091
437;-1,67559065236337
438;-1,67050015571835
439;-1,66286441075081
440;-1,65586497786389
441;-1,64822923289635
442;-1,64186611209007
443;-1,63486667920316
444;-1,62595831007436
445;-1,61704994094556
446;-1,61132313221991
447;-1,60368738725237
448;-1,59732426644609
449;-1,59032483355917
450;-1,58141646443038
451;-1,57378071946284
452;-1,56423603825341
453;-1,55596398120524
454;-1,54896454831833
455;-1,54005617918953
456;-1,53242043422199
457;-1,52478468925445
458;-1,51714894428691
459;-1,50887688723874
460;-1,49996851810995
461;-1,48915121273926
462;-1,48151546777172
463;-1,47515234696544
464;-1,46560766575601
465;-1,45606298454659
466;-1,44842723957905
467;-1,44142780669214
468;-1,43061050132146
469;-1,42361106843454
470;-1,4115211389026
471;-1,40261276977381
472;-1,39179546440312
473;-1,38415971943558
474;-1,37716028654867
475;-1,36570666909736
476;-1,35934354829108
477;-1,34979886708165
478;-1,33898156171097
479;-1,33007319258217
480;-1,32180113553401
481;-1,31098383016332
482;-1,30207546103453
483;-1,28998553150259
484;-1,28298609861568
485;-1,27471404156751
486;-1,26453304827745
487;-1,25117049458426
488;-1,2409895012942
489;-1,23080850800415
490;-1,22190013887535
491;-1,21235545766593
492;-1,20153815229525
493;-1,19262978316645
494;-1,1824487898764
495;-1,17163148450571
496;-1,15954155497377
497;-1,15063318584498
498;-1,13854325631304
499;-1,12772595094236
500;-1,11818126973293
501;-1,10800027644288
502;-1,09972821939471
503;-1,0882746019434
504;-1,07809360865334
505;-1,06282211871826
506;-1,05391374958947
507;-1,04436906838004
508;-1,03291545092873
509;-1,02082552139679
510;-1,01000821602611
511;-0,999827222736056
512;-0,99028254152663
513;-0,979465236155948
514;-0,964830058301496
515;-0,951467504608301
516;-0,942559135479504
