Index;Value
0;-2,04210641080531
1;-2,04083378664405
2;-2,04147009872468
3;-2,04083378664405
4;-2,03892485040217
5;-2,03637960207965
6;-2,03701591416028
7;-2,03574328999902
8;-2,03192541751525
9;-2,03383435375714
10;-2,03128910543463
11;-2,02747123295086
12;-2,02683492087023
13;-2,0261986087896
14;-2,02238073630583
15;-2,02365336046709
16;-2,01919917590269
17;-2,01601761549955
18;-2,01601761549955
19;-2,01219974301578
20;-2,00965449469326
21;-2,00710924637075
22;-2,00774555845138
23;-2,00138243764509
24;-1,99883718932258
25;-1,99756456516132
26;-1,99438300475818
27;-1,99183775643567
28;-1,98929250811315
29;-1,98547463562938
30;-1,98165676314561
31;-1,98102045106499
32;-1,9746573302587
33;-1,97147576985556
34;-1,96893052153305
35;-1,96384002488802
36;-1,96193108864613
37;-1,95811321616236
38;-1,95429534367859
39;-1,95047747119482
40;-1,94793222287231
41;-1,94284172622728
42;-1,93775122958226
43;-1,93456966917911
44;-1,92884286045346
45;-1,92438867588906
46;-1,92057080340529
47;-1,91675293092152
48;-1,91038981011524
49;-1,90848087387335
50;-1,90020881682518
51;-1,89766356850267
52;-1,89257307185764
53;-1,88620995105136
54;-1,88366470272885
55;-1,87921051816445
56;-1,87348370943879
57;-1,86584796447125
58;-1,86203009198748
59;-1,85630328326183
60;-1,84994016245554
61;-1,8467586020524
62;-1,84166810540737
63;-1,83530498460109
64;-1,83021448795606
65;-1,82576030339167
66;-1,81939718258538
67;-1,81112512553721
68;-1,80603462889219
69;-1,79776257184402
70;-1,79458101144088
71;-1,78694526647334
72;-1,78185476982831
73;-1,77421902486077
74;-1,76976484029637
75;-1,76085647116757
76;-1,75512966244192
77;-1,74940285371626
78;-1,73985817250684
79;-1,73540398794244
80;-1,73031349129741
81;-1,72267774632987
82;-1,71504200136233
83;-1,70867888055605
84;-1,69977051142725
85;-1,69086214229845
86;-1,68577164565343
87;-1,67749958860526
88;-1,67240909196023
89;-1,66350072283143
90;-1,65650128994452
91;-1,64950185705761
92;-1,6425024241707
93;-1,63486667920316
94;-1,62341306175185
95;-1,61832256510682
96;-1,6087778838974
97;-1,60241476309111
98;-1,59414270604294
99;-1,58523433691415
100;-1,57823490402723
101;-1,56932653489844
102;-1,55850922952775
103;-1,5527824208021
104;-1,54132880335079
105;-1,53369305838325
106;-1,52732993757697
107;-1,51714894428691
108;-1,50951319931937
109;-1,50060483019057
110;-1,49169646106178
111;-1,48215177985235
112;-1,47515234696544
113;-1,46369872951413
114;-1,45542667246596
115;-1,44779092749842
116;-1,43760993420837
117;-1,42997418924083
118;-1,41979319595077
119;-1,41215745098323
120;-1,40261276977381
121;-1,39306808856438
122;-1,38352340735496
123;-1,37525135030679
124;-1,36634298117799
125;-1,35616198788794
126;-1,34725361875914
127;-1,33643631338846
128;-1,3262553200984
129;-1,31734695096961
130;-1,3058933335183
131;-1,29634865230887
132;-1,28680397109945
133;-1,27598666572876
134;-1,26707829659997
135;-1,25816992747117
136;-1,24671631001986
137;-1,23717162881043
138;-1,22508169927849
139;-1,21490070598844
140;-1,20471971269839
141;-1,19390240732771
142;-1,18499403819891
143;-1,17290410866697
144;-1,16335942745754
145;-1,15317843416749
146;-1,14236112879681
147;-1,1309075113455
148;-1,12009020597482
149;-1,10927290060413
150;-1,09845559523345
151;-1,0882746019434
152;-1,07745729657272
153;-1,06663999120203
154;-1,05709530999261
155;-1,0411875079769
156;-1,03164282676747
157;-1,02146183347742
158;-1,01000821602611
159;-0,996009350252286
160;-0,988373605284746
161;-0,976919987833435
162;-0,965466370382125
163;-0,955921689172699
164;-0,940650199237619
165;-0,92856026970568
166;-0,918379276415626
167;-0,9088345952062
168;-0,896744665674262
169;-0,884018424061694
170;-0,873837430771641
171;-0,862383813320331
172;-0,849657571707763
173;-0,835022393853311
174;-0,824841400563257
175;-0,811478846870062
176;-0,801297853580008
177;-0,794934732773725
178;-0,781572179080529
179;-0,76948224954859
180;-0,758664944177908
181;-0,747847638807226
182;-0,733212460952774
183;-0,720486219340207
184;-0,708396289808268
185;-0,698215296518214
186;-0,684852742825019
187;-0,67276281329308
188;-0,661945507922398
189;-0,649219266309831
190;-0,636493024697264
191;-0,623130471004067
192;-0,611040541472129
193;-0,59895061194019
194;-0,585588058246994
195;-0,574134440795684
196;-0,56395344750563
197;-0,551227205893063
198;-0,537864652199867
199;-0,528319970990442
200;-0,512412168974733
201;-0,497776991120281
202;-0,486959685749599
203;-0,476142380378917
204;-0,464052450846978
205;-0,450689897153782
206;-0,4398725917831
207;-0,425237413928648
208;-0,410602236074196
209;-0,398512306542257
210;-0,386422377010319
211;-0,372423511236494
212;-0,360969893785184
213;-0,351425212575759
214;-0,335517410560049
215;-0,325336417269996
216;-0,313246487738057
217;-0,296066061561091
218;-0,284612444109781
219;-0,27315882665847
220;-0,258523648804018
221;-0,246433719272079
222;-0,236252725982026
223;-0,221617548127574
224;-0,210163930676263
225;-0,198710313224953
226;-0,18025726288673
227;-0,168803645435419
228;-0,158622652145366
229;-0,144623786371542
230;-0,131897544758974
231;-0,119171303146407
232;-0,107717685695097
233;-0,0943551320019012
234;-0,0816288903893341
235;-0,0682663366961389
236;-0,0555400950835718
237;-0,0459954138741461
238;-0,0307239239390658
239;-0,0192703064877549
240;-0,00590775279455968
241;0,00554586465675122
242;0,0201810425112035
243;0,0303620358012564
244;0,0443609015750805
245;0,0596323915101609
246;0,0710860089614718
247;0,0831759384934108
248;0,0959021801059778
249;0,109264733799173
250;0,120082039169856
251;0,134717217024308
252;0,146170834475618
253;0,161442324410698
254;0,172895941862009
255;0,187531119716462
256;0,198348425087143
257;0,209802042538454
258;0,225709844554163
259;0,236527149924845
260;0,247980767376156
261;0,262615945230608
262;0,275978498923803
263;0,288068428455742
264;0,301430982148938
265;0,314157223761505
266;0,326883465374072
267;0,338973394906011
268;0,352335948599206
269;0,361880629808632
270;0,380969992227483
271;0,391150985517537
272;0,403240915049475
273;0,415967156662043
274;0,42869339827461
275;0,438874391564664
276;0,450964321096602
277;0,463690562709169
278;0,477053116402365
279;0,491051982176189
280;0,504414535869384
281;0,516504465401323
282;0,52923070701389
283;0,539411700303944
284;0,552137941916511
285;0,562955247287193
286;0,574408864738504
287;0,588407730512327
288;0,603042908366779
289;0,613860213737462
290;0,6259501432694
291;0,640585321123853
292;0,647584754010765
293;0,659674683542703
294;0,672400925155271
295;0,681945606364696
296;0,69594447213852
297;0,710579649992972
298;0,720760643283026
299;0,733486884895593
300;0,745576814427532
301;0,754485183556329
302;0,766575113088268
303;0,780573978862092
304;0,790754972152145
305;0,800935965442199
306;0,816843767457908
307;0,829570009070475
308;0,837842066118644
309;0,850568307731211
310;0,863294549343778
311;0,872839230553204
312;0,883656535923886
313;0,89765540169771
314;0,906563770826507
315;0,920562636600331
316;0,933288878212898
317;0,942197247341695
318;0,954287176873634
319;0,967013418486201
320;0,975921787614998
321;0,986102780905052
322;0,998829022517619
323;1,01282788829144
324;1,02109994533961
325;1,03446249903281
326;1,04464349232286
327;1,05418817353229
328;1,06627810306423
329;1,07645909635428
330;1,0860037775637
331;1,09809370709564
332;1,11145626078884
333;1,12036462991764
334;1,13245455944957
335;1,14263555273963
336;1,15218023394905
337;1,16108860307785
338;1,17317853260979
339;1,18335952589984
340;1,19226789502864
341;1,20626676080246
342;1,21644775409252
343;1,22471981114069
344;1,236173428592
345;1,24571810980142
346;1,25399016684959
347;1,26671640846216
348;1,27498846551033
349;1,2832605225585
350;1,29535045209043
351;1,30553144538049
352;1,31443981450929
353;1,32334818363808
354;1,33225655276688
355;1,34116492189568
356;1,35134591518573
357;1,36152690847578
358;1,37107158968521
359;1,38188889505589
360;1,39143357626532
361;1,39843300915223
362;1,40925031452291
363;1,41752237157108
364;1,42579442861925
365;1,43533910982867
366;1,4448837910381
367;1,45251953600564
368;1,46397315345695
369;1,47288152258575
370;1,48115357963392
371;1,49006194876271
372;1,49960662997214
373;1,50851499910093
374;1,51360549574596
375;1,52378648903601
376;1,53333117024544
377;1,54223953937424
378;1,54987528434178
379;1,5594199655512
380;1,56578308635749
381;1,57469145548628
382;1,58232720045382
383;1,58996294542136
384;1,59696237830828
385;1,6065070595177
386;1,61350649240461
387;1,62114223737215
388;1,63068691858158
389;1,63705003938786
390;1,64404947227477
391;1,65168521724232
392;1,66122989845174
393;1,6669567071774
394;1,67459245214494
395;1,68222819711248
396;1,69050025416064
397;1,69495443872504
398;1,70195387161196
399;1,7095896165795
400;1,71468011322452
401;1,72295217027269
402;1,73122422732086
403;1,73758734812714
404;1,74522309309468
405;1,75094990182034
406;1,75794933470725
407;1,76431245551353
408;1,76876664007793
409;1,77385713672296
410;1,78022025752924
411;1,7859470662549
412;1,79421912330307
413;1,79867330786747
414;1,80503642867375
415;1,81139954948003
416;1,81712635820569
417;1,82221685485072
418;1,82730735149574
419;1,83176153606014
420;1,83939728102768
421;1,84512408975334
422;1,85021458639836
423;1,85594139512402
424;1,86103189176904
425;1,86548607633344
426;1,87057657297847
427;1,8756670696235
428;1,87821231794601
429;1,88584806291355
430;1,89093855955858
431;1,89475643204235
432;1,89921061660675
433;1,90557373741303
434;1,90875529781617
435;1,91257317029994
436;1,91702735486434
437;1,92084522734811
438;1,92529941191251
439;1,93038990855754
440;1,93357146896068
441;1,93738934144445
442;1,94184352600885
443;1,94629771057325
444;1,94884295889576
445;1,9520245192989
446;1,95711501594393
447;1,9609328884277
448;1,96411444883084
449;1,96665969715335
450;1,97047756963712
451;1,97302281795964
452;1,97493175420152
453;1,98065856292718
454;1,98256749916906
455;1,98320381124969
456;1,98765799581409
457;1,99147586829786
458;1,99211218037849
459;1,99402111662037
460;1,99783898910414
461;2,00038423742666
462;2,00165686158791
463;2,00420210991043
464;2,00738367031357
465;2,00738367031357
466;2,01183785487797
467;2,01247416695859
468;2,01311047903922
469;2,01565572736174
470;2,01756466360362
471;2,01756466360362
472;2,02074622400676
473;2,02201884816802
474;2,02201884816802
475;2,02265516024865
476;2,02647303273242
477;2,02583672065179
478;2,02647303273242
479;2,02965459313556
480;2,02965459313556
481;2,02901828105493
482;2,03029090521619
483;2,03347246561933
484;2,03219984145807
485;2,03156352937745
486;2,03219984145807
487;2,03347246561933
488;2,0328361535387
489;2,03219984145807
490;2,03474508978059
491;2,03347246561933
492;2,03092721729682
493;2,03347246561933
494;2,03219984145807
495;2,03219984145807
496;2,03029090521619
497;2,03092721729682
498;2,03029090521619
499;2,03029090521619
500;2,02901828105493
501;2,02774565689367
502;2,02583672065179
503;2,02583672065179
504;2,02583672065179
505;2,02456409649053
506;2,02265516024865
507;2,02010991192613
508;2,02010991192613
509;2,01692835152299
510;2,01629203944236
511;2,01438310320048
512;2,01374679111985
513;2,01247416695859
514;2,00992891863608
515;2,0080199823942
516;2,00547473407168
517;2,0035657978298
518;2,00229317366854
519;1,99783898910414
520;1,99783898910414
521;1,99529374078163
522;1,9902032441366
523;1,9902032441366
524;1,98893061997535
525;1,98320381124969
526;1,98002225084655
527;1,97747700252403
528;1,97620437836278
529;1,97111388171775
530;1,96920494547587
531;1,96793232131461
532;1,96220551258895
533;1,95775132802456
534;1,95520607970204
535;1,95329714346016
536;1,94884295889576
537;1,94375246225073
538;1,93993458976696
539;1,93738934144445
540;1,93229884479942
541;1,92911728439628
542;1,92593572399314
543;1,92148153942874
544;1,91511841862246
545;1,91511841862246
546;1,90684636157429
547;1,90175586492926
548;1,89984692868738
549;1,89348380788109
550;1,88966593539732
551;1,88584806291355
552;1,87948494210727
553;1,87439444546224
554;1,87057657297847
555;1,86548607633344
556;1,85848664344653
557;1,85530508304339
558;1,84830565015648
559;1,84257884143082
560;1,84003359310831
561;1,83430678438265
562;1,82476210317323
563;1,82094423068946
564;1,8152174219638
565;1,80949061323815
566;1,80440011659312
567;1,79930961994809
568;1,79167387498055
569;1,7859470662549
570;1,7814928816905
571;1,77449344880359
572;1,76622139175542
573;1,76049458302976
574;1,75349515014285
575;1,74585940517531
576;1,74076890853028
577;1,73504209980463
578;1,72740635483709
579;1,72231585819206
580;1,71658904946641
581;1,70768068033761
582;1,70004493537007
583;1,69304550248316
584;1,6873186937575
585;1,67968294878996
586;1,67395614006431
587;1,66759301925802
588;1,65868465012923
589;1,65041259308106
590;1,64404947227477
591;1,63577741522661
592;1,62814167025907
593;1,62241486153341
594;1,61223386824336
595;1,60332549911456
596;1,5975986903889
597;1,58678138501822
598;1,57914564005068
599;1,5727825192444
600;1,56514677427686
601;1,55560209306743
602;1,54796634809989
603;1,53969429105172
604;1,5301496098423
605;1,52378648903601
606;1,51360549574596
607;1,50533343869779
608;1,49578875748837
609;1,48878932460145
610;1,47988095547266
611;1,46906365010198
612;1,46206421721506
613;1,4537921601669
614;1,44424747895747
615;1,43279386150616
616;1,42452180445799
617;1,41561343532919
618;1,40543244203914
619;1,39652407291034
620;1,3888883279428
621;1,38061627089463
622;1,36916265344332
623;1,36152690847578
624;1,34880066686322
625;1,33925598565379
626;1,33098392860562
627;1,32080293531557
628;1,3125308782674
629;1,30044094873546
630;1,29153257960666
631;1,28262421047787
632;1,27180690510718
633;1,25971697557525
634;1,25017229436582
635;1,24190023731765
636;1,2317192440276
637;1,21962931449566
638;1,21390250577
639;1,20372151247995
640;1,19290420710927
641;1,18335952589984
642;1,17063328428728
643;1,15790704267471
644;1,14963498562654
645;1,14072661649774
646;1,12927299904643
647;1,11718306951449
648;1,10954732454695
649;1,09682108293439
650;1,08345852924119
651;1,07455016011239
652;1,06500547890297
653;1,05291554937103
654;1,04082561983909
655;1,03191725071029
656;1,01982732117835
657;1,00837370372704
658;1,00010164667888
659;0,984193844663166
660;0,973376539292484
661;0,963195546002431
662;0,951105616470492
663;0,940924623180438
664;0,9288346936485
665;0,918017388277817
666;0,907836394987764
667;0,895110153375197
668;0,883656535923886
669;0,869657670150062
670;0,857567740618123
671;0,848023059408698
672;0,837842066118644
673;0,824479512425449
674;0,81238958289351
675;0,804117525845341
676;0,791391284232774
677;0,776119794297693
678;0,764666176846383
679;0,754485183556329
680;0,740486317782505
681;0,729669012411823
682;0,720124331202398
683;0,706761777509202
684;0,694035535896635
685;0,683854542606581
686;0,669855676832757
687;0,656493123139562
688;0,644403193607623
689;0,632313264075684
690;0,62213227078563
691;0,60686078085055
692;0,596043475479868
693;0,585226170109186
694;0,573772552657875
695;0,557228438561538
696;0,548956381513369
697;0,536230139900802
698;0,526685458691377
699;0,511413968756296
700;0,500596663385614
701;0,487870421773047
702;0,475780492241108
703;0,461145314386656
704;0,450328009015974
705;0,436965455322778
706;0,423602901629582
707;0,411512972097643
708;0,40133197880759
709;0,387969425114394
710;0,374606871421199
711;0,364425878131145
712;0,345972827792923
713;0,335791834502869
714;0,32370190497093
715;0,311611975438991
716;0,298249421745796
717;0,286795804294486
718;0,274069562681918
719;0,260707008988723
720;0,249253391537413
721;0,23461821368296
722;0,219983035828507
723;0,207893106296569
724;0,19580317676463
725;0,182440623071434
726;0,170350693539496
727;0,157624451926929
728;0,146170834475618
729;0,135989841185564
730;0,119445727089227
731;0,106083173396032
732;0,0946295559447208
733;0,0812670022515256
734;0,0659955123164453
735;0,0551782069457625
736;0,0430882774138244
737;0,0290894116400002
738;0,0176357941886893
739;0,00427324049549416
740;-0,0103619373589581
741;-0,0237244910521541
742;-0,0345417964228361
743;-0,0479043501160312
744;-0,0599942796479702
745;-0,0733568333411654
746;-0,0841741387118482
747;-0,0981730044856715
748;-0,114080806501381
749;-0,124261799791435
750;-0,13762435348463
751;-0,151623219258454
752;-0,163076836709764
753;-0,17262151791919
754;-0,185984071612385
755;-0,197437689063696
756;-0,212072866918148
757;-0,225435420611343
758;-0,237525350143282
759;-0,250251591755849
760;-0,262341521287788
761;-0,275067762900355
762;-0,287157692432294
763;-0,300520246125489
764;-0,312610175657428
765;-0,326609041431253
766;-0,339971595124448
767;-0,352061524656387
768;-0,363515142107698
769;-0,378786632042778
770;-0,390876561574717
771;-0,401057554864771
772;-0,413783796477338
773;-0,427146350170533
774;-0,442417840105613
775;-0,452598833395667
776;-0,466597699169491
777;-0,47868762870143
778;-0,488868621991484
779;-0,503503799845936
780;-0,514957417297246
781;-0,5251384105873
782;-0,539137276361124
783;-0,555045078376834
784;-0,565226071666887
785;-0,577952313279455
786;-0,59131486697265
787;-0,601495860262704
788;-0,612949477714014
789;-0,627584655568466
790;-0,637129336777892
791;-0,649855578390459
792;-0,664490756244911
793;-0,67658068577685
794;-0,686761679066904
795;-0,700124232760099
796;-0,712850474372666
797;-0,72303146766272
798;-0,735757709275287
799;-0,747847638807226
800;-0,758664944177908
801;-0,772027497871104
802;-0,784117427403042
803;-0,797479981096238
804;-0,807024662305663
805;-0,817205655595717
806;-0,832477145530798
807;-0,842021826740223
808;-0,852839132110905
809;-0,868110622045986
810;-0,878927927416668
811;-0,88592736030358
812;-0,899289913996776
813;-0,910107219367458
814;-0,919015588496254
815;-0,93237814218945
816;-0,944468071721388
817;-0,954012752930814
818;-0,968647930785266
819;-0,979465236155948
820;-0,989646229446002
821;-1,00109984689731
822;-1,01318977642925
823;-1,02400708179993
824;-1,0322791388481
825;-1,04500538046067
826;-1,05582268583135
827;-1,06791261536329
828;-1,07872992073397
829;-1,09145616234654
830;-1,09972821939471
831;-1,11181814892665
832;-1,1219991422167
833;-1,13154382342613
834;-1,14172481671618
835;-1,15254212208686
836;-1,16654098786069
837;-1,17608566907011
838;-1,18499403819891
839;-1,19772027981148
840;-1,2072649610209
