Index;Value
0;-1,98547463562938
1;-1,98674725979064
2;-1,98865619603253
3;-1,99056513227441
4;-1,99120144435504
5;-1,9924740685163
6;-1,99438300475818
7;-1,99629194100007
8;-1,99374669267755
9;-1,99629194100007
10;-1,99820087724195
11;-1,99820087724195
12;-1,99820087724195
13;-2,00074612556446
14;-2,00138243764509
15;-1,99947350140321
16;-2,00201874972572
17;-2,00074612556446
18;-2,00138243764509
19;-2,00138243764509
20;-2,00138243764509
21;-2,00329137388698
22;-2,00265506180635
23;-2,00201874972572
24;-2,00265506180635
25;-2,00074612556446
26;-2,00010981348384
27;-1,99883718932258
28;-2,00138243764509
29;-1,99947350140321
30;-1,99692825308069
31;-1,99692825308069
32;-1,99692825308069
33;-1,99438300475818
34;-1,99311038059692
35;-1,99374669267755
36;-1,9924740685163
37;-1,98992882019378
38;-1,98992882019378
39;-1,9880198839519
40;-1,98611094771001
41;-1,9835656993875
42;-1,98420201146813
43;-1,98229307522624
44;-1,97847520274247
45;-1,9746573302587
46;-1,97402101817807
47;-1,97274839401682
48;-1,97083945777493
49;-1,96638527321053
50;-1,96638527321053
51;-1,96511264904928
52;-1,96065846448488
53;-1,95874952824299
54;-1,95684059200111
55;-1,95556796783985
56;-1,95047747119482
57;-1,94729591079168
58;-1,94411435038854
59;-1,94347803830791
60;-1,93902385374351
61;-1,93584229334037
62;-1,93266073293723
63;-1,92947917253409
64;-1,92502498796969
65;-1,92184342756655
66;-1,91802555508278
67;-1,91675293092152
68;-1,91038981011524
69;-1,90657193763147
70;-1,90402668930895
71;-1,90020881682518
72;-1,89511832018016
73;-1,8893915114545
74;-1,88620995105136
75;-1,8849373268901
76;-1,87666526984193
77;-1,87284739735816
78;-1,87030214903565
79;-1,86648427655188
80;-1,85884853158434
81;-1,8556669711812
82;-1,8512127866168
83;-1,84548597789114
84;-1,83975916916549
85;-1,83530498460109
86;-1,83085080003669
87;-1,82448767923041
88;-1,82130611882727
89;-1,81494299802098
90;-1,80921618929533
91;-1,80158044432779
92;-1,79776257184402
93;-1,79330838727962
94;-1,78758157855396
95;-1,77994583358642
96;-1,77549164902203
97;-1,77103746445763
98;-1,76403803157072
99;-1,7570385986838
100;-1,75003916579689
101;-1,74494866915186
102;-1,73858554834558
103;-1,73349505170055
104;-1,72649561881364
105;-1,7188598738461
106;-1,71249675303982
107;-1,70486100807228
108;-1,70040682350788
109;-1,69340739062097
110;-1,68577164565343
111;-1,6806811490084
112;-1,67304540404086
113;-1,66668228323458
114;-1,65841022618641
115;-1,65268341746075
116;-1,64313873625133
117;-1,63613930336441
118;-1,62786724631625
119;-1,62277674967122
120;-1,61641362886494
121;-1,60750525973614
122;-1,60050582684923
123;-1,59223376980106
124;-1,58332540067226
125;-1,57632596778535
126;-1,56741759865655
127;-1,55978185368901
128;-1,5527824208021
129;-1,54514667583456
130;-1,53687461878639
131;-1,52923887381885
132;-1,52160312885131
133;-1,51205844764189
134;-1,5012411422712
135;-1,49424170938429
136;-1,48660596441675
137;-1,47706128320733
138;-1,46815291407853
139;-1,46051716911099
140;-1,4541540483047
141;-1,44397305501465
142;-1,43315574964397
143;-1,42424738051517
144;-1,41661163554763
145;-1,40579433017695
146;-1,39688596104815
147;-1,38861390399998
148;-1,38034184695181
149;-1,37206978990365
150;-1,36252510869422
151;-1,34979886708165
152;-1,34152681003348
153;-1,33261844090469
154;-1,32243744761463
155;-1,31225645432458
156;-1,30398439727641
157;-1,29634865230887
158;-1,2836224106963
159;-1,27471404156751
160;-1,26389673619683
161;-1,2543520549874
162;-1,24417106169735
163;-1,23335375632666
164;-1,22380907511724
165;-1,21490070598844
166;-1,2072649610209
167;-1,19644765565022
168;-1,18817559860205
169;-1,17672198115074
170;-1,16526836369943
171;-1,15445105832875
172;-1,14427006503869
173;-1,13345275966801
174;-1,1219991422167
175;-1,11499970932979
176;-1,10418240395911
177;-1,09018353818528
178;-1,0793662328146
179;-1,0704578636858
