Index;Value
0;-1,90339037722833
1;-1,90911718595398
2;-1,91166243427649
3;-1,91611661884089
4;-1,92057080340529
5;-1,92438867588906
6;-1,93075179669535
7;-1,93329704501786
8;-1,93902385374351
9;-1,94284172622728
10;-1,94729591079168
11;-1,95175009535608
12;-1,95365903159797
13;-1,95747690408174
14;-1,96129477656551
15;-1,96638527321053
16;-1,97147576985556
17;-1,97274839401682
18;-1,97402101817807
19;-1,9791115148231
20;-1,98420201146813
21;-1,98611094771001
22;-1,9880198839519
23;-1,99056513227441
24;-1,99438300475818
25;-1,99947350140321
26;-2,00138243764509
27;-2,00265506180635
28;-2,00583662220949
29;-2,00901818261263
30;-2,01219974301578
31;-2,01347236717703
32;-2,01474499133829
33;-2,01601761549955
34;-2,01983548798332
35;-2,02301704838646
36;-2,02365336046709
37;-2,02747123295086
38;-2,02683492087023
39;-2,02874385711211
40;-2,03001648127337
41;-2,03256172959588
42;-2,03574328999902
43;-2,0351069779184
44;-2,03701591416028
45;-2,03701591416028
46;-2,03892485040217
47;-2,03956116248279
48;-2,04083378664405
49;-2,04147009872468
50;-2,04401534704719
51;-2,04528797120845
52;-2,04656059536971
53;-2,04401534704719
54;-2,04528797120845
55;-2,04656059536971
56;-2,04719690745033
57;-2,04656059536971
58;-2,04656059536971
59;-2,04719690745033
60;-2,04783321953096
61;-2,04783321953096
62;-2,04846953161159
63;-2,04719690745033
64;-2,04656059536971
65;-2,04910584369222
66;-2,04656059536971
67;-2,04656059536971
68;-2,04465165912782
69;-2,04465165912782
70;-2,04465165912782
71;-2,04274272288594
72;-2,04210641080531
73;-2,04147009872468
74;-2,04083378664405
75;-2,03956116248279
76;-2,03892485040217
77;-2,03574328999902
78;-2,03447066583777
79;-2,03447066583777
80;-2,030652793354
81;-2,02938016919274
82;-2,02874385711211
83;-2,02683492087023
84;-2,02492598462834
85;-2,02301704838646
86;-2,02110811214457
87;-2,01919917590269
88;-2,01601761549955
89;-2,01538130341892
90;-2,0128360550964
91;-2,008381870532
92;-2,00647293429012
93;-2,00456399804823
94;-2,00138243764509
95;-1,99756456516132
96;-1,99501931683881
97;-1,99311038059692
98;-1,99183775643567
99;-1,98674725979064
100;-1,98611094771001
101;-1,98165676314561
102;-1,97656626650059
103;-1,97529364233933
